SKU,CPUFrequency,Cores,Turbo,CPI,INSTRUCTIONS_RETIRED,HighMembwUtil_Elapsed,PeakMemBW,MemBW(GBps),DRAM B/w Bound,Memory Bandwidth Bound,L3Bound,Frequency(MHz),Flops,Performance
8280M,1000,28,1000,0.761,1.61E+14,46.8,274.96,85.292,23.5,28.8,1.8,997.65,117.702,5.878413
8280M,1000,36,1000,0.774,1.64E+14,56.6,274.96,104.823,32.9,29.5,1.5,997.634,141.991,4.73767
8280M,1000,44,1000,0.83,1.74E+14,62.8,274.96,120.406,39.5,32.1,1.8,997.638,164.949,4.364681
8280M,1000,52,1000,0.868,1.80E+14,69.8,274.96,134.599,50.3,34.1,2,997.649,183.089,4.011725
8280M,1000,56,1000,0.853,1.99E+14,62.6,274.96,126.801,50.5,31.1,1.6,997.667,175.322,3.769801
8280M,1200,28,1200,,,,274.96,,,,,,,
8280M,1200,36,1200,,,,274.96,,,,,,,
8280M,1200,44,1200,,,,274.96,,,,,,,
8280M,1200,52,1200,,,,274.96,,,,,,,
8280M,1200,56,1200,,,0,274.96,0,0,,,0,0,3.465736
8280M,1400,28,1400,0.854,1.61E+14,59.6,274.96,105.438,34.2,34.3,1.8,1397,146.16,4.735756
8280M,1400,36,1400,0.881,1.66E+14,66.5,274.96,126.864,45.2,35.6,1.5,1397,173.363,3.913177
8280M,1400,44,1400,0.965,1.76E+14,72.8,274.96,142.29,56.7,38.4,1.8,1397,196.287,3.682996
8280M,1400,52,1400,1.034,1.83E+14,80.3,274.96,156.211,64.8,40.5,2.2,1397,214.085,3.462001
8280M,1400,56,1400,0.997,2.04E+14,69.2,274.96,145.243,61.3,37.1,1.9,1397,202.178,3.267244
8280M,1600,28,1600,,,,274.96,,,,,,,
8280M,1600,36,1600,,,,274.96,,,,,,,
8280M,1600,44,1600,,,,274.96,,,,,,,
8280M,1600,52,1600,,,,274.96,,,,,,,
8280M,1600,56,1600,,,0,274.96,0,0,,,0,0,3.12546
8280M,1800,28,1800,0.954,1.63E+14,66.4,274.96,119.376,42.3,38.5,1.9,1796,166.476,4.161609
8280M,1800,36,1800,0.995,1.69E+14,72.2,274.96,141.651,58.2,40,1.5,1796,193.947,3.493473
8280M,1800,44,1800,1.102,1.80E+14,79.8,274.96,157.052,67,42.7,1.9,1796,216.953,3.354022
8280M,1800,52,1800,1.179,1.89E+14,86.2,274.96,169.804,73.8,44.4,2.4,1796,232.675,3.201434
8280M,1800,56,1800,1.16,2.11E+14,75.8,274.96,157.047,68.2,40.8,2.2,1796,217.983,3.020621
8280M,2000,28,2000,,,,274.96,,,,,,,
8280M,2000,36,2000,,,,274.96,,,,,,,
8280M,2000,44,2000,,,,274.96,,,,,,,
8280M,2000,52,2000,,,,274.96,,,,,,,
8280M,2000,56,2000,,,0,274.96,0,0,,,0,0,2.944483
8280M,2200,28,2200,1.057,1.64E+14,70.5,274.96,130.02,45.8,41.8,1.9,2195,181.944,3.813664
8280M,2200,36,2200,1.108,1.71E+14,76.2,274.96,152.398,63,43.1,1.6,2195,208.997,3.247928
8280M,2200,44,2200,1.247,1.83E+14,86.6,274.96,167.284,72.8,45.8,2,2195,231.388,3.156288
8280M,2200,52,2200,1.345,1.93E+14,88.5,274.96,178.788,78.9,47.3,2.5,2195,243.727,3.048217
8280M,2200,56,2200,1.292,2.14E+14,80,274.96,164.302,72.3,44.2,2.5,2195,229.375,2.879921
8280M,2600,28,2600,1.169,1.66E+14,73.6,274.96,137.844,49.8,44.3,2.1,2593,192.973,3.593397
8280M,2600,36,2600,1.229,1.74E+14,79.3,274.96,159.383,69.8,45.8,1.7,2584,223.795,3.098192
8280M,2600,44,2600,1.349,1.86E+14,88.2,274.96,172.441,76.1,47.3,2.1,2512,232.074,3.062593
8280M,2600,52,2600,1.354,2.01E+14,89.4,274.96,182.455,82.3,47.9,2.6,2436,247.921,2.99434
8280M,2600,56,2600,1.377,2.24E+14,81.6,274.96,167.715,73.6,44.4,2.5,2451,233.966,2.823079
8280M,2700,28,2700,1.19,1.66E+14,74.1,274.96,139.405,50.6,44.8,2.1,2694,195.468,3.459784
8280M,2700,36,2700,1.222,1.77E+14,79.2,274.96,159.479,70.5,45.7,1.7,2694,221.959,3.048591
8280M,2700,44,2700,1.343,1.89E+14,88.3,274.96,172.845,76.3,47,2,2694,236.596,3.040585
8280M,2700,52,2700,1.41,2.00E+14,89.4,274.96,182.702,82,48.2,2.6,2694,249.112,2.987622
8280M,2700,56,2700,1.368,2.29E+14,81.7,274.96,167.598,73.6,43.9,2.5,2481,231.507,2.829134
8280M,2701,28,4000,2.1,1.83E+14,74.4,274.96,141.009,51.2,43.7,2.1,2985,197.229,3.498395
8280M,2701,36,4000,1.7,1.90E+14,80.4,274.96,161.77,71.6,44.6,1.7,2844,220.878,3.06082
8280M,2701,44,4000,2,2.05E+14,88.5,274.96,173.401,76.4,45.6,2,2643,238.053,3.056911
8280M,2701,52,4000,2.5,2.13E+14,89.7,274.96,182.92,82.1,46.7,2.5,2541,250.159,2.993781
8280M,2701,56,4000,2.6,2.29E+14,87.3,274.96,181.031,78.7,45.7,2.6,2563,250.803,2.825602
8280M,2701,56,4000,1.836,2.28E+14,90.7,274.96,193.633,85.3,58.1,3.3,2694,161.686,3.948348
6248,2501,40,3900,1.182,2.03E+14,0,274.96,168.455,73.4,44.4,2.7,2603,219.307,3.202358
